iter	RMSE
0	13.44895579
1	13.05676252
2	12.6602812
3	12.25810076
4	11.84986789
5	11.57007967
6	11.21876643
7	10.85308921
8	10.53492042
9	10.19132265
10	9.889415441
11	9.58277958
12	9.260638926
13	8.983595988
14	8.707483805
15	8.455364443
16	8.216091884
17	7.978234395
18	7.735960143
19	7.513238051
20	7.301866114
21	7.082755671
22	6.87056934
23	6.656004097
24	6.460094271
25	6.274995623
26	6.102534076
27	5.92144141
28	5.755913274
29	5.580121766
30	5.436637276
31	5.267040277
32	5.116687387
33	4.964280811
34	4.810645551
35	4.66145948
36	4.520183351
37	4.37600566
38	4.255881201
39	4.149846285
40	4.059410699
41	3.950927665
42	3.837244083
43	3.743934467
44	3.630426953
45	3.534186702
46	3.443137931
47	3.364462118
48	3.266552795
49	3.183738546
50	3.089722854
51	3.004030396
52	2.934475062
53	2.855364606
54	2.777235012
55	2.697509942
56	2.619235618
57	2.544658868
58	2.480069879
59	2.412344435
60	2.34390671
61	2.279500088
62	2.216881513
63	2.157748813
64	2.110422502
65	2.057525102
66	2.00678636
67	1.969783545
68	1.923274354
69	1.875246159
70	1.835028127
71	1.79680186
72	1.753980602
73	1.710889858
74	1.672692222
75	1.636100917
76	1.599476962
77	1.561133702
78	1.526562475
79	1.486199259
80	1.453519496
81	1.421493851
82	1.389984239
83	1.357598167
84	1.323367413
85	1.300273483
86	1.27080926
87	1.241806246
88	1.217647105
89	1.193365371
90	1.169288424
91	1.14623004
92	1.125527016
93	1.103938733
94	1.085012063
95	1.062420717
96	1.040760725
97	1.022315346
98	1.00275092
99	0.9850431933
100	0.9661830985
101	0.9520758118
102	0.9360036574
103	0.9220472158
104	0.9093916179
105	0.8979549444
106	0.8856208934
107	0.8793808977
108	0.8680921944
109	0.8547737764
110	0.8422039899
111	0.8292839258
112	0.8230524937
113	0.8109175302
114	0.8015135567
115	0.7899833892
116	0.7863788574
117	0.7754934552
118	0.7658983046
119	0.7546754868
120	0.7500308507
121	0.7409751383
122	0.7340067447
123	0.7249108892
124	0.715665758
125	0.7122251915
126	0.7082844853
127	0.705675191
128	0.7020250596
129	0.6970022681
130	0.690403503
131	0.6806561232
132	0.6733368248
133	0.6653551805
134	0.6579632239
135	0.6508961504
136	0.6471865307
137	0.6452973422
138	0.6384096562
139	0.6320023505
140	0.6246124658
141	0.6204402756
142	0.6182849804
143	0.6159066772
144	0.6083666251
145	0.6014534187
146	0.5968414264
147	0.5929234021
148	0.5901240702
149	0.5856937764
150	0.5829220625
151	0.5794905413
152	0.5739477876
153	0.5722282623
154	0.5686704257
155	0.5655619884
156	0.5601690198
157	0.5580912483
158	0.5554077287
159	0.5514647967
160	0.5487526178
161	0.5466924687
162	0.5434844743
163	0.5421151618
164	0.5407677993
165	0.53784496
166	0.5324980159
167	0.5312084214
168	0.5282443498
169	0.5268528867
170	0.5215544593
171	0.5185689495
172	0.5167171276
173	0.5125481749
174	0.5100341175
175	0.5087816374
176	0.5073466085
177	0.5061361324
178	0.5050611763
179	0.5020139512
180	0.4997987335
181	0.4982215224
182	0.4969651852
183	0.4950279625
184	0.4907662965
185	0.4896840767
186	0.4860106686
187	0.4839641507
188	0.4823630176
189	0.4796159348
190	0.4764040583
191	0.4747506729
192	0.4729676848
193	0.4695403927
194	0.4684424417
195	0.4642573601
196	0.4610390132
197	0.4594940716
198	0.4582444159
199	0.4554650828
200	0.4536445849
201	0.4521734805
202	0.4509740613
203	0.4498607099
204	0.4489318639
205	0.4477473304
206	0.4468829349
207	0.4458005012
208	0.4443468334
209	0.4434323073
210	0.4423532943
211	0.4394202185
212	0.4384252071
213	0.4358146152
214	0.4348627906
215	0.4338190517
216	0.4328204076
217	0.4306516231
218	0.429663502
219	0.4290329366
220	0.4279104995
221	0.4245919851
222	0.4225317266
223	0.4218612534
224	0.4209337465
225	0.4198891626
226	0.4191636633
227	0.4181541045
228	0.4149462171
229	0.4141254642
230	0.4116983474
231	0.4109625776
232	0.4103875199
233	0.4096282427
234	0.4089829183
235	0.4082182284
236	0.4054677575
237	0.4027782724
238	0.4021385404
239	0.4015581435
240	0.400971177
241	0.3983602425
242	0.3977292063
243	0.394997548
244	0.3943982157
245	0.3929925922
246	0.3924772154
247	0.3919082374
248	0.3889629836
249	0.3883841125
250	0.3878966945
251	0.387362615
252	0.3856550536
253	0.3834382134
254	0.3828867547
255	0.3822604974
256	0.3817495744
257	0.381318705
258	0.3808589743
259	0.3804085046
260	0.378168115
261	0.3776878818
262	0.3772310047
263	0.3749990665
264	0.3729350085
265	0.3725649429
266	0.3721967539
267	0.3717982191
268	0.3714077422
269	0.3690884652
270	0.3687093764
271	0.3683379556
272	0.3679740459
273	0.3676517627
274	0.3657869577
275	0.3654385313
276	0.3651311603
277	0.3647948624
278	0.3625605616
279	0.3622343289
280	0.3606606766
281	0.3603449049
282	0.3586732374
283	0.3583661184
284	0.3564420424
285	0.3561445158
286	0.3558318324
287	0.3555455669
288	0.3537105589
289	0.3520395181
290	0.3517631148
291	0.3501984627
292	0.3499053449
293	0.3496426413
294	0.3493852986
295	0.3491390118
296	0.3478617007
297	0.3463256428
298	0.344843779
299	0.3433782423
300	0.3431399979
301	0.3416375535
302	0.3413805459
303	0.3411540641
304	0.3409072081
305	0.3397912232
306	0.3384069881
307	0.3381947747
308	0.3363361451
309	0.3361305263
310	0.3359291156
311	0.3348260345
312	0.3336354271
313	0.3331696843
314	0.3329813502
315	0.3322955889
316	0.3321132268
317	0.331934592
318	0.3317596065
319	0.331588194
320	0.3309295332
321	0.3303054628
322	0.3295818195
323	0.3287685682
324	0.3286102028
325	0.3284553751
326	0.32761024
327	0.3265018029
328	0.3259270097
329	0.3244183588
330	0.3240608423
331	0.3239219337
332	0.3237844254
333	0.3221927242
334	0.3220602381
335	0.3204983374
336	0.3203697419
337	0.3202437377
338	0.3201194384
339	0.3191092606
340	0.3189911601
341	0.3174762702
342	0.3160793562
343	0.3155782299
344	0.3144411419
345	0.3141371924
346	0.3140303491
347	0.3130018831
348	0.3121734453
349	0.3111825771
350	0.3107146119
351	0.3104361571
352	0.3093931317
353	0.3085032709
354	0.3072122787
355	0.3071245466
356	0.3059813385
357	0.305335508
358	0.3041941537
359	0.303479776
360	0.3024711126
361	0.3016321764
362	0.30040044
363	0.2992429246
364	0.2980402591
365	0.2968985767
366	0.2961352741
367	0.2953491313
368	0.2944245516
369	0.2943525209
370	0.2938610182
371	0.292808541
372	0.2919129686
373	0.2913367139
374	0.29074056
375	0.2900346779
376	0.2891298766
377	0.2886991254
378	0.2882888236
379	0.2875691033
380	0.2870511612
381	0.2864373518
382	0.2859502387
383	0.2854795569
384	0.2849157527
385	0.2844727
386	0.2837106714
387	0.2828969162
388	0.2822037042
389	0.2814865271
390	0.2804764084
391	0.2797020205
392	0.2791805274
393	0.2786801839
394	0.2781367833
395	0.2776159243
396	0.2770188052
397	0.276525554
398	0.2758846158
399	0.2753303907
400	0.2743445713
401	0.2739093475
402	0.2735064122
403	0.2727907431
404	0.2723850236
405	0.2715452386
406	0.271159184
407	0.2705918456
408	0.2702535679
409	0.2692225672
410	0.2686220875
411	0.268284826
412	0.2676374597
413	0.2671368143
414	0.2665552817
415	0.2661949068
416	0.2652474527
417	0.2648326293
418	0.2639004098
419	0.2633561155
420	0.2625486833
421	0.2621180241
422	0.2618157641
423	0.2611613528
424	0.2607789317
425	0.2598778883
426	0.259562733
427	0.2587554358
428	0.257917023
429	0.2574329751
430	0.2564359479
431	0.2558764336
432	0.2552242657
433	0.2544633105
434	0.2536386998
435	0.2529882578
436	0.2524913897
437	0.2519812666
438	0.2516058576
439	0.250971771
440	0.2501980755
441	0.2497292844
442	0.2489401773
443	0.2484680969
444	0.2477104737
445	0.2474389103
446	0.2467764781
447	0.2463824632
448	0.2459406779
449	0.245613661
450	0.2450545026
451	0.2443889394
452	0.2438232677
453	0.2434914491
454	0.2432342743
455	0.2429575353
456	0.2423319587
457	0.2420585782
458	0.2417600814
459	0.2411759889
460	0.2406549552
