iter	Passed	Remaining
0	0	816
1	1	707
2	2	730
3	2	735
4	3	739
5	4	672
6	4	677
7	5	692
8	6	677
9	6	683
10	7	687
11	8	688
12	9	692
13	9	694
14	10	697
15	11	699
16	12	701
17	12	703
18	13	704
19	14	705
20	15	706
21	15	708
22	16	709
23	17	709
24	18	709
25	18	709
26	19	698
27	20	705
28	21	704
29	21	703
30	22	704
31	23	705
32	24	704
33	24	705
34	25	705
35	26	705
36	27	705
37	27	704
38	28	703
39	29	703
40	30	702
41	30	702
42	31	701
43	32	700
44	33	700
45	33	699
46	34	698
47	35	697
48	35	696
49	36	696
50	37	695
51	38	695
52	38	694
53	39	694
54	40	693
55	41	692
56	41	691
57	42	690
58	43	689
59	43	689
60	44	687
61	45	687
62	46	687
63	47	687
64	47	687
65	48	686
66	49	686
67	49	685
68	50	684
69	51	684
70	52	683
71	52	680
72	53	680
73	54	679
74	55	678
75	55	677
76	56	676
77	57	676
78	57	675
79	58	675
80	59	674
81	60	673
82	60	672
83	61	671
84	62	671
85	63	670
86	63	670
87	64	669
88	65	669
89	66	668
90	66	667
91	67	666
92	68	666
93	69	665
94	69	664
95	70	663
96	71	662
97	71	661
98	72	660
99	73	658
100	73	657
101	74	656
102	75	654
103	75	653
104	76	653
105	77	652
106	78	651
107	78	650
108	79	648
109	80	647
110	80	646
111	81	644
112	82	643
113	82	642
114	83	642
115	84	641
116	84	639
117	85	638
118	86	637
119	86	636
120	87	633
121	87	632
122	88	631
123	89	630
124	89	629
125	90	628
126	91	627
127	91	624
128	92	623
129	92	621
130	93	620
131	94	619
132	94	618
133	95	618
134	96	617
135	97	616
136	97	615
137	97	611
138	98	610
139	99	609
140	99	608
141	100	607
142	101	606
143	101	605
144	102	604
145	103	603
146	103	602
147	104	602
148	105	601
149	105	600
150	106	598
151	107	597
152	107	597
153	108	594
154	108	593
155	109	592
156	110	591
157	110	589
158	111	588
159	111	587
160	112	586
161	113	585
162	113	585
163	114	582
164	114	580
165	115	579
166	116	578
167	116	576
168	117	575
169	117	574
170	118	573
171	118	572
172	119	571
173	120	571
174	121	570
175	121	567
176	121	565
177	122	563
178	122	561
179	122	560
180	123	559
181	124	558
182	124	557
183	125	557
184	126	557
185	127	555
186	127	555
187	128	555
188	129	554
189	129	553
190	130	553
191	131	552
192	132	552
193	133	554
194	133	553
195	134	552
196	135	552
197	136	551
198	136	551
199	137	550
200	138	549
201	138	549
202	139	548
203	140	548
204	140	546
205	141	546
206	142	544
207	142	544
208	143	543
209	144	542
210	144	542
211	145	541
212	146	541
213	147	540
214	148	540
215	148	540
216	149	539
217	150	539
218	151	538
219	151	537
220	152	536
221	153	536
222	153	535
223	154	533
224	154	533
225	155	532
226	156	531
227	156	531
228	157	530
229	158	531
230	159	531
231	160	530
232	160	528
233	161	528
234	162	527
235	163	527
236	163	527
237	165	528
238	165	527
239	166	527
240	167	526
241	167	525
242	168	525
243	169	524
244	169	523
245	170	523
246	171	522
247	172	522
248	172	521
249	173	520
250	174	520
251	174	519
252	175	518
253	176	518
254	177	517
255	178	517
256	178	516
257	179	516
258	180	515
259	180	514
260	181	513
261	182	513
262	183	512
263	183	512
264	184	511
265	185	511
266	186	510
267	186	510
268	187	509
269	188	509
270	189	508
271	189	508
272	190	507
273	191	506
274	192	506
275	192	505
276	193	504
277	194	504
278	194	503
279	195	502
280	196	502
281	197	501
282	197	501
283	198	500
284	199	499
285	199	498
286	200	498
287	201	497
288	202	497
289	202	496
290	203	496
291	204	495
292	205	494
293	205	494
294	206	493
295	207	492
296	207	492
297	208	491
298	209	491
299	210	490
300	210	489
301	211	489
302	212	488
303	212	487
304	213	486
305	214	486
306	215	485
307	215	484
308	216	483
309	217	483
310	217	482
311	218	481
312	219	480
313	219	480
314	220	479
315	221	478
316	221	478
317	222	477
318	223	476
319	223	475
320	224	474
321	225	473
322	225	473
323	226	472
324	227	471
325	227	471
326	228	470
327	229	469
328	229	469
329	230	468
330	231	467
331	231	466
332	232	465
333	233	465
334	233	464
335	234	463
336	235	463
337	236	462
338	236	461
339	237	460
340	238	460
341	238	459
342	239	459
343	240	458
344	240	457
345	241	456
346	242	455
347	242	455
348	243	454
349	244	453
350	244	452
351	245	452
352	246	451
353	247	450
354	247	450
355	248	449
356	249	448
357	249	447
358	250	447
359	251	446
360	251	445
361	252	444
362	253	444
363	253	443
364	254	442
365	255	441
366	255	441
367	256	440
368	257	439
369	257	438
370	258	438
371	259	437
372	259	436
373	260	435
374	261	435
375	261	434
376	262	433
377	263	432
378	263	432
379	264	431
380	265	430
381	265	430
382	266	429
383	267	428
384	267	427
385	268	426
386	269	426
387	269	425
388	270	424
389	271	423
390	271	423
391	272	422
392	273	421
393	273	420
394	274	420
395	274	419
396	275	418
397	276	417
398	277	417
399	277	416
400	278	415
401	279	415
402	279	414
403	280	413
404	281	413
405	281	412
406	282	411
407	283	411
408	284	410
409	284	409
410	285	409
411	286	408
412	286	407
413	287	406
414	288	406
415	288	405
416	289	404
417	290	404
418	290	403
419	291	402
420	292	401
421	292	401
422	293	400
423	294	399
424	294	398
425	295	398
426	296	397
427	296	396
428	297	395
429	298	395
430	298	394
431	299	393
432	300	393
433	300	392
434	301	391
435	302	390
436	302	390
437	303	389
438	304	388
439	304	387
440	305	387
441	306	386
442	306	385
443	307	385
444	308	384
445	308	383
446	309	382
447	310	382
448	310	381
449	311	380
450	312	379
451	312	379
452	313	378
453	314	377
454	314	377
455	315	376
456	316	375
457	316	374
458	318	375
459	319	374
460	319	373
461	320	373
462	321	372
463	322	372
464	322	371
465	323	370
466	324	370
467	324	369
468	325	368
469	326	367
470	326	367
471	327	366
472	328	365
473	328	365
474	329	364
475	330	363
476	330	362
477	331	362
478	332	361
479	333	361
480	334	360
481	334	359
482	335	359
483	336	358
484	337	357
485	337	357
486	338	356
487	339	355
488	339	355
489	340	354
490	341	353
491	342	353
492	342	352
493	343	351
494	344	351
495	344	350
496	345	349
497	346	349
498	347	348
499	347	347
500	348	346
501	349	346
502	349	345
503	350	344
504	351	344
505	351	343
506	352	342
507	353	342
508	354	341
509	354	340
510	355	340
511	356	339
512	357	338
513	357	338
514	358	337
515	359	336
516	359	336
517	361	336
518	361	335
519	362	334
520	363	333
521	363	333
522	364	332
523	365	331
524	366	331
525	366	330
526	367	329
527	368	329
528	368	328
529	369	327
530	370	326
531	370	326
532	371	325
533	372	325
534	373	324
535	373	323
536	374	322
537	375	322
538	376	321
539	376	320
540	377	320
541	378	319
542	378	318
543	379	318
544	380	317
545	380	316
546	381	315
547	382	315
548	382	314
549	383	313
550	384	313
551	384	312
552	385	311
553	386	310
554	386	310
555	387	309
556	388	308
557	388	308
558	389	307
559	390	306
560	390	305
561	391	305
562	392	304
563	393	303
564	393	303
565	394	302
566	395	302
567	396	301
568	397	300
569	397	300
570	398	299
571	399	298
572	400	298
573	400	297
574	401	296
575	402	296
576	402	295
577	403	294
578	404	294
579	405	293
580	406	292
581	406	292
582	407	291
583	408	290
584	408	289
585	409	289
586	410	288
587	411	288
588	411	287
589	412	286
590	413	286
591	414	285
592	414	284
593	415	284
594	416	283
595	417	282
596	418	282
597	418	281
598	419	280
599	420	280
600	421	279
601	421	278
602	422	278
603	423	277
604	424	276
605	424	276
606	425	275
607	426	274
608	426	274
609	427	273
610	428	272
611	429	272
612	430	271
613	430	270
614	431	270
615	432	269
616	433	268
617	433	268
618	434	267
619	435	267
620	436	266
621	437	265
622	438	265
623	439	264
624	439	263
625	440	263
626	441	262
627	442	261
628	443	261
629	443	260
630	444	260
631	445	259
632	446	258
633	446	257
634	447	257
635	448	256
636	449	256
637	450	255
638	451	254
639	451	254
640	452	253
641	453	252
642	454	252
643	454	251
644	455	250
645	456	250
646	457	249
647	457	248
648	458	248
649	459	247
650	460	246
651	460	246
652	461	245
653	462	244
654	463	244
655	464	243
656	464	242
657	465	241
658	466	241
659	466	240
660	467	239
661	468	239
662	468	238
663	469	237
664	470	237
665	471	236
666	472	235
667	472	235
668	473	234
669	474	233
670	475	233
671	475	232
672	476	231
673	477	230
674	477	230
675	478	229
676	479	228
677	480	228
678	480	227
679	481	226
680	482	225
681	482	225
682	483	224
683	484	223
684	485	223
685	485	222
686	486	221
687	487	220
688	487	220
689	488	219
690	489	218
691	490	218
692	490	217
693	491	216
694	492	216
695	493	215
696	493	214
697	494	213
698	495	213
699	496	212
700	496	211
701	497	211
702	498	210
703	499	209
704	500	209
705	500	208
706	501	207
707	502	207
708	503	206
709	504	206
710	505	205
711	506	204
712	506	204
713	507	203
714	508	202
715	508	201
716	509	201
717	510	200
718	510	199
719	511	198
720	512	198
721	513	197
722	513	196
723	514	196
724	515	195
725	515	194
726	516	193
727	517	193
728	518	192
729	518	191
730	519	191
731	520	190
732	520	189
733	521	189
734	522	188
735	522	187
736	523	186
737	524	186
738	525	185
739	525	184
740	526	184
741	527	183
742	528	182
743	528	181
744	529	181
745	530	180
746	530	179
747	531	179
748	532	178
749	532	177
750	533	176
751	534	176
752	534	175
753	535	174
754	536	174
755	537	173
756	537	172
757	538	171
758	539	171
759	539	170
760	540	169
761	541	169
